z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
51566,60016,9.5,6.25,,2.25,016-5000-1,1,016-0015-1,0,,Des Plaines,Des Plaines,IL,Cook,0,1
51567,60017,9.5,6.25,,2.25,016-5000-1,1,016-0015-1,0,,Des Plaines,Des Plaines,IL,Cook,0,1
51569,60018,9.75,6.25,,2.25,016-5000-1,1.25,016-0147-4,0,,Rosemont,Des Plaines,IL,Cook,0,0
51568,60018,9.5,6.25,,2.25,016-5000-1,1,016-0015-1,0,,Des Plaines,Des Plaines,IL,Cook,0,1
51572,60019,9.5,6.25,,2.25,016-5000-1,1,016-0015-1,0,,Rosemont,Des Plaines,IL,Cook,0,0
51571,60019,9.5,6.25,,2.25,016-5000-1,1,016-0015-1,0,,Despl/Rsmt Bus Rply,Des Plaines,IL,Cook,0,0
51570,60019,9.5,6.25,,2.25,016-5000-1,1,016-0015-1,0,,Des Plaines,Des Plaines,IL,Cook,0,1
51574,60020,8,6.25,,0.75,049-5000-6,1,049-0036-7,0,,Volo,Fox Lake,IL,Lake,0,0
51573,60020,7,6.25,,0.75,049-5000-6,,,0,,Fox Lake,Fox Lake,IL,Lake,0,1
51578,60021,7,6.25,,0.75,056-5000-6,,,0,,Barrington Hills,Fox River Grove,IL,McHenry,0,0
51579,60021,7,6.25,,0.75,056-5000-6,,,0,,Fox River Grove,Fox River Grove,IL,McHenry,0,1
51581,60022,8.5,6.25,,2.25,016-5000-1,,,0,,Glencoe,Glencoe,IL,Cook,0,1
51582,60025,9.25,6.25,,2.25,016-5000-1,0.75,016-0024-9,0,,Glenview,Glenview,IL,Cook,0,1
51583,60026,9.25,6.25,,2.25,016-5000-1,0.75,016-0024-9,0,,Glenview,Glenview,IL,Cook,0,1
51584,60029,8.5,6.25,,2.25,016-5000-1,,,0,,Golf,Golf,IL,Cook,0,1
51585,60030,7,6.25,,0.75,049-5000-6,,,0,,Gages Lake,Grayslake,IL,Lake,0,0
51587,60030,7,6.25,,0.75,049-5000-6,,,0,,Hainesville,Grayslake,IL,Lake,0,0
51588,60030,7,6.25,,0.75,049-5000-6,,,0,,Third Lake,Grayslake,IL,Lake,0,0
51589,60030,8,6.25,,0.75,049-5000-6,1,049-0036-7,0,,Volo,Grayslake,IL,Lake,0,0
51593,60030,7,6.25,,0.75,049-5000-6,,,0,,Wildwood,Grayslake,IL,Lake,0,0
51586,60030,7,6.25,,0.75,049-5000-6,,,0,,Grayslake,Grayslake,IL,Lake,0,1
51594,60031,7.5,6.25,,0.75,049-5000-6,0.5,049-0010-3,0,,Gurnee,Gurnee,IL,Lake,0,1
51596,60033,7,6.25,,0.75,056-5000-6,,,0,,Alden,Harvard,IL,McHenry,0,0
51595,60033,7,6.25,,0.75,056-5000-6,,,0,,Chemung,Harvard,IL,McHenry,0,0
51597,60033,7,6.25,,0.75,056-5000-6,,,0,,Harvard,Harvard,IL,McHenry,0,1
51598,60034,7,6.25,,0.75,056-5000-6,,,0,,Hebron,Hebron,IL,McHenry,0,1
51599,60035,8,6.25,,0.75,049-5000-6,1,049-0011-1,0,,Highland Park,Highland Park,IL,Lake,0,1
51600,60037,7,6.25,,0.75,049-5000-6,,,0,,Fort Sheridan,Fort Sheridan,IL,Lake,0,1
51601,60037,8,6.25,,0.75,049-5000-6,1,049-0011-1,0,,Highland Park,Fort Sheridan,IL,Lake,0,0
51603,60038,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Ww Grainger Inc,Palatine,IL,Cook,0,0
51602,60038,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Palatine,Palatine,IL,Cook,0,1
51604,60039,7.75,6.25,,0.75,056-5000-6,0.75,056-0007-3,0,,Crystal Lake,Crystal Lake,IL,McHenry,0,1
51608,60040,8.5,6.25,,0.75,049-5000-6,1.5,049-0012-1,0,,Highwood,Highwood,IL,Lake,0,1
51611,60041,7,6.25,,0.75,049-5000-6,,,0,,Long Lake,Ingleside,IL,Lake,0,0
51609,60041,7,6.25,,0.75,049-5000-6,,,0,,Stanton Point,Ingleside,IL,Lake,0,0
51612,60041,8,6.25,,0.75,049-5000-6,1,049-0036-7,0,,Volo,Ingleside,IL,Lake,0,0
51610,60041,7,6.25,,0.75,049-5000-6,,,0,,Ingleside,Ingleside,IL,Lake,0,1
51613,60042,7,6.25,,0.75,049-5000-6,,,0,,Island Lake,Island Lake,IL,Lake,0,1
51614,60043,8.5,6.25,,2.25,016-5000-1,,,0,,Kenilworth,Kenilworth,IL,Cook,0,1
51615,60044,8,6.25,,0.75,049-5000-6,1,049-0014-6,0,,Green Oaks,Lake Bluff,IL,Lake,0,0
51616,60044,8,6.25,,0.75,049-5000-6,1,049-0014-6,0,,Knollwood,Lake Bluff,IL,Lake,0,0
51617,60044,8,6.25,,0.75,049-5000-6,1,049-0014-6,0,,Lake Bluff,Lake Bluff,IL,Lake,0,1
51618,60045,7.5,6.25,,0.75,049-5000-6,0.5,049-0015-4,0,,Green Oaks,Lake Forest,IL,Lake,0,0
47736,60045,7.5,6.25,,0.75,049-5000-6,0.5,049-0015-4,0,,Lincolnshire Woods,Lake Forest,IL,Lake,0,0
47737,60045,7.5,6.25,,0.75,049-5000-6,0.5,049-0015-4,0,,Mettawa,Lake Forest,IL,Lake,0,0
51619,60045,7.5,6.25,,0.75,049-5000-6,0.5,049-0015-4,0,,Lake Forest,Lake Forest,IL,Lake,0,1
47741,60046,7,6.25,,0.75,049-5000-6,,,0,,Lindenhurst,Lake Villa,IL,Lake,0,0
47738,60046,7,6.25,,0.75,049-5000-6,,,0,,Chesney Shores,Lake Villa,IL,Lake,0,0
47739,60046,7,6.25,,0.75,049-5000-6,,,0,,Fox Lake Hills,Lake Villa,IL,Lake,0,0
47742,60046,7,6.25,,0.75,049-5000-6,,,0,,Venetian Village,Lake Villa,IL,Lake,0,0
47743,60046,7,6.25,,0.75,049-5000-6,,,0,,West Miltmore,Lake Villa,IL,Lake,0,0
47740,60046,7,6.25,,0.75,049-5000-6,,,0,,Lake Villa,Lake Villa,IL,Lake,0,1
51647,60047,8,6.25,,0.75,049-5000-6,1,049-0035-9,0,,Long Grove,Lake Zurich,IL,Lake,0,0
